29|A Man and His Mate|1915|52 min|Action, Adventure, Crime|5.9|Harry Ogden - ne'er-do-well - is caught by a sheriff's posse and is about to be hung when he is saved by Betty, the daughter of a Kentucky Colonel, who is traveling in the West for his health. Ogden is addicted to a morphine habit and Betty, who is a doctor, hides him in their house and nurses him back to health. Ogden asks Betty to be his wife, and he is returning to his family home to get some money. The Colonel, mistaken for Ogden by Taylor, a rival for Betty's hand, is shot and killed by Taylor, who leaves evidence pointing to Ogden as the killer. Betty plans to turn him over to the law when he returns. Meanwhile, Taylor is killed by Choo, who is secretly in love with Betty, and she learns through Choo that Ogden is innocent of her father's murder.
30|The New Exploits of Elaine|1915|52 min|Action, Adventure|5.2|"Episode 1: ""The Serpent Sign"" Miss Elaine Dodge, daughter and heiress of the late Taylor Dodge, whose murder has attracted such world-wide attention, has again had her life seriously ...                See full synopsis »"
31|The Plunderer|1915|52 min|Action, Adventure, Romance|6.8|"Bill Matthews and his partner, owners of the ""Croix D'or mine, are beset on all sides dues to the schemes of a trusted colleague who plots to take their mine away from them, and leaves no under-handed method un-attempted in the process."
32|The Quest|1915|52 min|Action, Adventure, Drama|5.1|John Douglas, a high-society playboy, is a cynic concerning the women of his social set, and has a pictured ideal of the girl of his dreams. Wising to avoid the upcoming social season, he hops a freighter bound for the Orient. It sinks in mid-ocean and he, as the sole survivor, is washed upon a island, where he is rescued by Nia, daughter of the tribal chief, Neto.John is puzzled as all of the tribe are white people, but he learns from the tribal chief they are descendent's of English-origin who also are on the island because of a ship wreck a few hundred years ago. John soon arouses the jealousy of Kaura, the tribal sub-chief who wants Nia as his bride, but Nia wants nothing to do with Nia, and favors John. Kaura demand that Nia become his bride, but John Rescues her and they head for the jungle, with Kaura and his henchmen in hot pursuit. The pursuit only lasts until a storm comes up and Kuara is killed by a bolt of lightning, and his followers take that as a sign the Gods aren't in favor of the pursuit. John and Nia take up residence in the Tribal Priest's jungle cave, after the Tribal Chief performs a marriage ceremony. They are quite happy and content, especially Nia who likes to play the harp John made for her. But a yacht appears on the horizon, and John struggles with a decision as to light a signal fire and be taken back to civilization.
33|Samson|1915|52 min|Action, Crime, Drama||"Murice Brachard, a dock laborer, rises to be a ""Samson"" of finance with terrific power and a primordial ferocity, which he needs when his wife spurns his devotion, and people he trusts try to pull down the structure of wealth he has erected."
34|Stuart Webbs: Die Toten erwachen|1915|52 min|Action, Crime||
35|A Texas Steer|1915|52 min|Action, Adventure, Comedy|2.5|Urged on by his wife and daughter and against his better judgment, Texas cattle-baron Maverick Brander, finds himself in Washington D. C. as an elected congressman. However, when the Brander family arrives in Washington, they are met at every junction by snobbery and ridicule. Then an investigative committee arrives from Texas to check up on how Maverick is representing their interests.
36|Les vampires|1915|52 min|Action, Adventure, Crime|7.3|An intrepid reporter and his loyal friend battle a bizarre secret society of criminals known as The Vampires.
37|The Ventures of Marguerite|1915|52 min|Action, Adventure|3.0|As heiress to a large fortune, Marguerite is able to satisfy her love for beautiful clothes and a taste for adventure, while confronted by a multitude of schemers and gangsters bent on reducing her to poverty.
38|The Secret of the Submarine|1915|52 min|Action|5.3|
39|Das Gesetz der Mine|1915|52 min|Action, Crime||
40|Sein schwierigster Fall|1915|52 min|Action, Crime||
41|Georgia Pearce|1915|52 min|Action, Adventure|6.2|This is a completely bogus title; there is no reliable documentation that any film bearing this title was ever produced or distributed at this time. The only film in which Love, Myers and Talmadge all appeared in was D.W. Griffith's Intolerance (1916).
42|The Loyal Rebel|1915|52 min|Action, Adventure|6.5|
43|Der gestreifte Domino|1915|52 min|Action, Crime||
44|Das Mitternachtsschiff|1915|52 min|Action, Crime||
45|Eines Mannes Schatten|1915|52 min|Action, Crime||
46|Violette Rosen|1915|52 min|Action, Crime||
47|Manden med de ni Fingre II|1915|52 min|Action||
48|Manden med de ni Fingre I|1915|52 min|Action|6.0|
49|Das verschwundene Unterseeboot|1915|52 min|Action, War||
50|Ein Schrei in der Nacht|1915|52 min|Action, Crime||
51|The Girl and the Game|1916||Action||
52|The Social Pirates|1916||Adventure, Action|4.2|Two women finally tire of being taken advantage of by men, and vow that they will stop these cads from preying on helpless young girls.
53|20,000 Leagues Under the Sea|1916||Action, Adventure, Sci-Fi|6.2|A French professor and his daughter accompany Captain Nemo on an adventure aboard a submarine.
54|The Adventures of Peg o' the Ring|1916||Drama, Action|4.7|
55|Beatrice Fairfax|1916||Action, Adventure|7.8|Serial in 15 parts about a female crime-fighting reporter.
56|Ben Blair|1916||Action, Drama, Romance||When a young woman deserts her rancher husband and, with her son Ben, goes to live with the drunken Tom Blair. Blair raises Ben as his son, but kills Ben's mother, causing the boy to return to his natural father. There, Ben falls in love with Florence Winthrop. Later, Ben gains revenge for his mother's death by killing Tom, but he loses Florence, who decides to live in the East. When Ben learns that Florence has become engaged, he goes after her and issues an ultimatum: if she does not take him back, he will kill her fiancé. After first resenting Ben for his demand, Florence realizes that she loves him and returns West with him.
57|The Bugler of Algiers|1916||Action, Drama, War||
58|Davy Crockett|1916||Action, Biography, Western|5.9|The story of the famous Tennessee frontiersman, soldier, scout, and Congressman who fought and died at the Alamo.
59|Gloria's Romance|1916||Action, Adventure, Drama|6.2|An adventurous young girl in Florida gets herself lost in the Everglades and finds terror and excitement, as well as the rivalry of two men in love with her.
60|The Heir to the Hoorah|1916||Action, Drama||
61|The Iron Claw|1916||Action, Adventure|6.3|
62|Liberty|1916||Action, Adventure, War|3.7|
63|Maciste alpino|1916||Action, Drama, War|6.2|A soldier of near-superhuman strength fights battles in the First World War and wages a private war to rescue a young woman from the castle where she is imprisoned.
64|The Parson of Panamint|1916||Action, Romance, Western||A tough preacher comes to the rip-roaring gold town of Panamint in hopes of reforming it. But disaster awaits.
65|Die Peitsche|1916||Action, Crime||
66|Reggie Mixes In|1916||Action, Comedy, Drama|4.8|Reggie, a wealthy young man about town, is eager for excitement, so he takes to visiting the rougher sections of the city in search of thrills. He meets and falls for a cabaret singer, but she turns out to be the inamorata of the local gang boss. The gangster sends his men after Reggie, but eventually it comes down to a duel between the two men themselves.
67|The Return of Draw Egan|1916||Action, Adventure, Romance|6.5|"Outlaw leader ""Draw"" Egan, believed dead, turns up in the town of Yellow Dog. The townsfolk believe him to be William Blake, a strong and law-abiding man. They appoint him sheriff to rid the town of the hoodlums who have nearly taken over. He does so with dispatch, becoming a genuinely lawful and respected member of the town's society. But then Arizona Joe, one of Egan's old gang, shows up in Yellow Dog, threatening to expose Egan if he doesn't help his old comrade take over the town......"
68|The Scarlet Runner|1916||Action||A series of 12 2-reel episodes, each a separate and unrelated story, relating the adventures of Christopher Race and his high-powered automobile, The Scarlet Runner. Each episode has a different cast, except for the continuing role of Earle Williams. Episode titles are: #1: The Car and His Majesty (1916); #2: The Nuremberg Watch (1916); #3: The Masked Ball (1916); #4: The Hidden Prince (1916); #5: The Jacobean House (1916); #6: The Mysterious Motor Car (1916); #7: The Red Whiskered Man (1916); #8: The Glove and the Ring (1916); #9: The Gold Cigarette Case (1916); #10: The Lost Girl (1916); #11: The Missing Chapter (1916); #12: The Car and the Girl (1916).
69|The Shielding Shadow|1916||Action||
70|The Yellow Menace|1916||Action||
71|The Purple Mask|1916||Action|5.8|
72|Fliegende Schatten|1916||Action, Crime||
73|Die Gespensteruhr|1916||Action, Crime||
74|Ein Blatt Papier|1916||Action, Crime||
75|Ignorance|1916||Action, Crime, Drama||
76|Das rätselhafte Inserat|1916||Action, Crime||
77|Wie ich Detektiv wurde|1916||Action, Crime||
78|In the Last Stride|1916||Action, Adventure|5.1|
79|Timothy Dobbs, That's Me|1916||Action, Comedy||A comedy and action series of ten 2-reel episodes, each episode complete in itself and entirely independent of the others: #1: The Sody Clerk; #2: A Thousand a Week; #3: He Became a Cop; #4: From the Rogue's Gallery; #5: Hired and Fired; #6: He Almost Lands an Angel; #7: A Hero by Proxy; #8: Borrowed Plumes; #9: Breaking Into Society; #10: Fame at Last.
80|Gräfin de Castro|1916||Action, Crime||
81|Der Hilferuf|1916||Action, Crime||
82|Ramara|1916||Action, Crime||
83|Die silberne Kugel|1916||Action, Crime||
84|Les vampires: L'homme des poisons|1916||Action, Crime, Mystery|7.0|Satanas, having committed suicide in prison, Venenos becomes the head of the Vampires. He learns that Philip is engaged to be married and orders Irma Vep to take an apartment in the same building and watch the girl. Irma learns that the betrothal dinner is soon to be celebrated. Venenos is advised and tells the caterer that the dinner has been postponed one day. The Vampires impersonate the caterer and his assistants. They poison the wine, and the janitor, who has been given some, drinks it and dies. His wife rushes into the banquet just in time to save the guests, who are about to drink to Philip and the girl. The Vampires switch off the lights and escape. Philip writes in code to his fiancée and tells her to go with her mother to a villa at Chailly. Irma Vep, accompanied by her maid, lies in wait for the limousine. It arrives with a wardrobe trunk strapped upright on the running board. Irma is at work spraying the interior of the automobile with a powerful anesthetic when Normandin steps out of the trunk. The women overpower him and Irma hides in the trunk. On arrival at Chailly, Irma telephones to Venenos, and is afterward captured by Philip Guard, who is soon joined by Normandin, who has escaped from the Vampires. Venenos rescues Irma and the pair escape in an automobile and escapes as the men continue after Venenos, who jumps from a bridge to a moving train and elude Philip and Normandin.
85|Les vampires: Le maître de la foudre|1916||Action, Crime, Mystery|7.0|Satanas, disguised as bishop goes to visit Irma Vep in prison to announce its issuance. The ship that takes Irma is cast in prison by Satanas. Irma Vep returns to Paris. Captured in turn Satanas commits suicide in prison.
86|Les vampires: Les noces sanglantes|1916||Action, Crime, Mystery|7.0|The Vampires do not give up their attempts on the life of Philip Guard even after he is married. The wife of the janitor who was accidentally poisoned by wine meant for Philip's wedding is now in Philip's employ. She is anxious to avenge her husband's death, and consults a fortune teller. The fortune teller is a Vampire. By hypnotizing her visitor, the woman influences her to open the door of Philip's home to the Vampires. Normandin has fallen in love with Augustine, and has followed her to the fortune teller. She will not reveal the reason for her visit and he watches her day and night. It is this vigilance which finally rewards him by finding the Vampires descend on Philip's home. The Vampires are put to flight when they are discovered trying to asphyxiate Philip and his wife. While Philip and Normandin go for the police, Augustine and Jane, Philip's wife, are kidnapped and carried to a house in the suburbs. Normandin, pursuing the automobile, fires a shot that punctures the lubricating oil tank. This drips, leaving a trail which Normandin follows slowly but successfully on a bicycle. Philip and Normandin find that Jane and Augustine are kept prisoners in a cellar of the house. Philip leaves his revolver with his wife while he and Normandin go for the police. The official raiding party arrives while the marriage of Irma Vep and Venenos is being celebrated. Every exit is watched, and the police break in upon the Vampires. All are killed or captured, but a count shows that Irma Vep is missing. She has secured a revolver dropped by a policeman and hurried to the cellar to be revenged upon Jane and Augustine for the death of her companions. Jane, however, defends herself by shooting Irma, who drops at the feet of Normandin and Philip who have also hurried to the cellar. Thus the last Vampire is accounted for, and Philip has freed France of the terrible criminal menace. Normandin marries Augustine, and the two pair live happily ever after.
87|Les vampires: Les yeux qui fascinent|1916||Action, Crime, Mystery|6.9|
88|Les vampires: Satanas|1916||Action, Crime, Mystery|6.9|"After Phil Guard and Normandin capture two Vampires, Irma Vep and Moreno, the latter is guillotined and the woman is condemned to life imprisonment. The authorities as well as Philip, good reporter that he was, were lulled into security, thinking the Vampires were now powerless. They did not even know about Satanas, who was now leader of the band. Before her incarceration for life, Irma Vep is sent by the authorities to Algeria to testify regarding a crime committed there. Before leaving the detention home to board the vessel, she receives comforting information from a priest. The man is really Satanas in disguise. Satanas tells her that once on shipboard she must feign illness and be sent to the infirmary near the stern of the vessel, with his wonderful electric gun Satanas will destroy the ship, the projectile striking near the bow. Thus Irma will have a chance to regain her liberty. Even if she dies, that will be better than a life spent in prison. The ship is destroyed and Irma Vep is saved. She does not find Satanas, being afraid to disclose her identity in Algeria. She works her way back to Paris, whither Satanas has also returned. The head of the Vampires plans to destroy Philip Guard. The reporter is bound and gagged in his room and left to wait for the explosion of a bomb which will destroy him and those dear to him. Fortunately Normandin arrives, hears the clock-work tick of the infernal machine, and throws it into the garden just in time to save Philip. Satanas is living as a wealthy man in a new apartment, but the faithful Normandin penetrates his disguise and finds one of the shells for the electric gun. Normandin is accompanied by his son who enters the apartment upon a pretext. When he thinks he is alone he admits his father. Normandin hides in a chest, a fact known to Satanas, who has been watching through a mask on the wall, which is really a peep-hole from another room. The boy and Satanas struggle, after the former sees the chest locked and fears that his father is to be smothered. The fight is going in favor of the Vampire, despite his young adversary's revolver, when the door is broken and Philip and the police enter. Satanas is overcome and Normandin is released. He is suffering from a slight wound. His own son has shot him, grazing his big nose! The Vampires hold a meeting to discuss the capture of their chief. Irma Vep appears for the first time after her return and is loudly welcomed by the band. Venenos, the ""man of poisons,"" takes from his pocket directions Satanas left with him in case he was captured. The request is for a certain letter to be smuggled to him in prison. This is done. Satanas chews the letter into a pulp and drops dead. The paper has been steeped in a deadly poison."
89|Manden med de ni Fingre III|1916||Action||
90|Manden med de ni Fingre IV|1916||Action||
91|Schloss Phantom|1916||Action, Crime||
92|Die Pagode|1917||Action, Crime, Drama||
93|The Man from Painted Post|1917||Action, Comedy, Romance|7.2|In order to find out who's behind a cattle rustling operation that's hurting ranchers, a detective for the Cattleman's Protective Association pretends to be a tenderfoot from back east who's just arrived in the area and doesn't know how to ride, rope or shoot.
94|The Fatal Ring|1917||Action||
95|Das Geheimnis der Briefmarke|1917||Action, Crime||
96|The Gray Ghost|1917||Action, Crime, Drama||Chapter 1: The Bank Mystery - Carlow (T.D. Crittenden'), a wealthy American living in London, is engaged to Lady Gwendolyn (Gertrude Astor) and has ordered from Arabin & Company, famous ...                See full summary »
97|The Great Secret|1917||Action, Adventure|5.2|A wealthy young athlete comes to the aid of a beautiful heiress, whose fortune is being threatened by two arch villains, The Great Master and Doctor Zulph.
98|The Gunfighter|1917||Action, Romance, Western|6.6|"Cliff Hudspeth, the leader of a band of outlaws in Arizona, has won his place by the killing of notorious gun-bullies. At their headquarters, in the Gila Mountains, in consultation with ""Ace High,"" his lieutenant, he plans depredations on the neighboring settlements. Although Hudspeth is powerful, their rule is disputed by El Salvador, a half-breed, and his following of desperadoes. Desert Pass is the scene of many conflicts between the contending bands. Rumors of the arrival of miners with gold causes El Salvador to send ""Cactus"" Fuller, his henchman, to levy tribute by a hold-up, which is successful. Flushed with triumph, he boasts in the ""Golden Fleece"" saloon of the ignominies to which he would treat Cliff Hudspeth if he ever met him. Hudspeth arrives and makes Cactus, whom he throws out of the saloon, realize that something must be done to retrieve a shattered reputation. Coming out of the saloon, Hudspeth sees Norma Wright, a milliner, standing at the door of her little store, and waves her inside, as he anticipates trouble. The shooting commences and Cactus is defeated. As Hudspeth is preparing to leave town Norma denounces him as a cold-blooded murderer. Stung almost to madness by the girl's accusation, he seizes her and gallops out of town. At his retreat he locks the stupefied girl in a room and seeks to drown the memory of her words with whiskey. The whiskey, and his awakened conscience, bring him to review his life, and, half delirious, he sees his victims pass reproachfully before him. The girl, too, becomes aware of the human side of the man and next morning she brings him around to her way of thinking and extracts a pledge that he will never willingly kill another human being. Soon after there comes from a member of the legislature offer of a pardon and restoration to citizenship if Cliff will undertake to rid Arizona of El Salvador. Hearing of Cliff's new appointment, El Salvador is wild with rage, and burns the town and drags Norma away to the mountains. Cliff Hudspeth rescues her and kills El Salvador, although mortally wounded himself. He places the girl on a horse, which bears her to safety, and passes away consoled that his last killing was in her defense."
99|Heart and Soul|1917||Action, Romance, War||Jess takes care of her younger sister Bess, she has always been her primary consideration, since the death of her mother. Years later, the two sisters are living with their uncle on his plantation in Puerto Rico when they meet John Neil, who immediately falls in love with Jess. Upon realizing that Bess is in love with the same man, Jess sacrifices her own happiness for that of her sister. Soon after, Drummond, a corrupt planter, starts a revolution against the United States government, and in the ensuing war the plantation and all its inhabitants are captured. Jess escapes and rides to the American garrison for aid, but during the fight she is mortally wounded. Her dying words are a blessing upon Neil and her sister Bess.
100|Die Hochzeit im Excentricclub|1917||Action, Crime, Drama||
101|The Lost Express|1917|360 min|Action, Thriller||A train that is carrying the formula for a valuable form of granulated gasoline disappears before it reaches its destination. Railroad investigators and the authorities try to determine where it is and who took it.
102|The Mystery Ship|1917|360 min|Adventure, Action|6.0|
103|The Mystery of the Double Cross|1917|360 min|Adventure, Action|6.1|
104|Nan of Music Mountain|1917|360 min|Action, Adventure, Drama|4.8|"Henry de Spain, a young mountaineer of about twenty-eight, is made general manager of the Thief River Stage Line because he has nerve and can shoot. It is understood that he is to ""clean up"" the gang of outlaws in Morgan Gap, led by Duke Morgan, with whose pretty niece, Nan, de Spain is in love. Sassoon starts the trouble by a knifing, but de Spain catches him. The laugh is soon turned, though, for Sassoon escapes and soon after de Spain himself is wounded in a fight with about seven of the Morgan gang. He is severely wounded and falls from the horse. The horse runs away, and de Spain is left there unconscious. He is finally discovered by Nan, who cannot forget her resentment even when she sees that he is half dead. Later she learns the true story of his attack by her relatives and from his own lips the reason of his being a gunman. This was that his father was shot in the back by one of the mountaineers and soon after his mother had died from the effects of the shock, leaving him with a birthmark to commemorate his father's tragic death. Nan is won over to his side the more easily that she is already half in love with the handsome gunman. A few days later she helps him escape. Afterwards, although he takes every opportunity for seeing her, they seldom meet and her uncle very nearly succeeds in marrying her to her worthless cousin, Gale Morgan. Duke Morgan is thrown from his horse and seriously hurt. Nan comes to nurse him at the hospital, where de Spain has been since he was shot. De Spain leaves soon after her arrival, but comes to see her under the pretext of bringing supplies. It is while there that she at last surrenders to his pleading and consents to become formally ""engaged."" Gale learns of the affair and tells Duke. Nan is forced to confess her love for de Spain and her uncle tells her that she will never marry him. Gale wins old Duke's permission to marry Nan and the girl is kept a prisoner in her room until she will consent to marrying her cousin. One night de Spain gets the following message: ""Take me away from here as soon as you can."" He knows it is from Nan. He rides to the Morgan ranch, and overhears Duke and Gale planning Nan's marriage. He reveals himself and holds the men at bay while he and Nan, who has appeared, escape. Sassoon, a bad man, nearly kills de Spain, but the latter manages to get a successful shot at his enemy and they reach town, where he takes Nan to the home of one of his friends. Henry de Spain learns that old Duke Morgan was the one who killed his father. Nan, broken-hearted, starts back to her uncle to learn the truth. She tries to bring him to de Spain, but they are caught in a blizzard, and only saved by de Spain just as they are about to succumb. Duke tells de Spain that he and Sassoon both shot at his father, but that they never knew which shot proved fatal, and they learned, to their horror soon after, that de Spain was not the man they were after, who had killed a member of their clan. There is a make-shift wedding ceremony performed right there in the snow, for old Duke gives in at last to the lovers, but later at the settlement there is a more elaborate wedding, which serves to unite the two enemy factions."
105|Patria|1917|360 min|Action, Drama|5.9|Serial about Japanese spies trying to invade the US but whose plans are foiled by a rich heiress and a Secret Service agent.
106|The Railroad Raiders|1917|360 min|Adventure, Action|5.1|Chapter 12 - A Fight for the Franchise: Helen Holmes (Helen Holmes) and Roy Wilson (William Brunton, president of the K & W Railroad, become suspicious of the dealings of Thomas Desmond (...                See full summary »
107|The Red Ace|1917|360 min|Action, Adventure|1.8|
108|The Seven Pearls|1917|360 min|Action, Adventure|4.4|
109|Vengeance - and the Woman|1917|360 min|Action, Adventure, Crime|6.4|
110|The Voice on the Wire|1917|360 min|Action, Adventure, Crime|7.0|"Chapter 15: ""The Living Death"" - Chapter 14 ends with the floating hand writing a message to John Spencer and Polly Marion that all would be made clear in next week's episode. Tom and Polly watch fascinated as the dis-embodied Hand writes (in flashback scenes, mostly.) Cronin and Professor Duvam wait in an adjoining room. The Hand writes that it (he) was a member of ""The Black Seven,"" a psychical and scientific research group in Paris and, because other scientists considered them crazy owing to their advanced theories, they and their meetings were kept secret. Five of these men were the victims of ""The Voice"" (also dis-embodied) in previous chapters, the sixth was Dr. Reynolds and the seventh was Emil LaRoux. The latter, not content, with proving astral bodies could be projected, was also convinced he could recall a soul at will, providing that the body in which the soul had lived on earth was preserved by a certain ancient process. The other members were convinced that no one would consent to being mummified alive. But LaRoux learned that he could easily dominate the will of Reynolds' wife, Irene. He told five of the members he had found his subject for the experiment. The one he didn't tell was Reynolds. A year later, deep in the heart of the African jungle on an expedition and in Reynold's absence, LaRoux made Irene his experiment victim, and left the camp with her mummified body and her infant child. In pursuit, Reynolds found LaRoux's dead body in the desert sand, with a note in his hand saying he had sent Irene's mummified body back to civilization to the five members not on the expedition and the baby son was to be the channeled means of communication with her in what LaRoux called ""The Living Death"". That night Reynold's was bitten by a snake and his servant cut off his hand to save his life. Later, a human arm was grafted to Reynolds' body and he discovered when his astral body was projected, only the missing hand was visible. He now had his method of revenge."
111|The Bull's Eye|1917|360 min|Action, Drama||
112|The Devil Dodger|1917|360 min|Action, Drama, Western||The story of a circuit-riding, sagebrush parson who flew in the face of providence with both guns blazing.
113|The Further Adventures of Stingaree|1917|360 min|Action, Crime, Drama||"In this 3rd-episode of ""The Futher Adventues of Stingaree"" called ""The Tracking of Stingaree"", Mary O'Brien (Edythe Sterling and her daughter Kate live on a selector's homestead in the bush...                See full summary »"
114|Das Geheimnis der leeren Wasserflasche|1917|360 min|Action, Crime||
115|Die Kaukasierin|1917|360 min|Action, Crime||
116|Das Klima von Vancourt|1917|360 min|Action, Crime||
117|Krähen fliegen um den Turm|1917|360 min|Action, Crime||
118|Les chacals|1917|360 min|Action, Adventure, Western|3.6|
119|Der Erdstrommotor|1917|360 min|Action, Crime||
120|Der Todesstern|1917|360 min|Action, Crime||
121|Der Erbe von 'Het Steen'|1917|360 min|Action, Crime||
122|Die Kassette|1917|360 min|Action, Crime, Mystery||
